image,image_name,MAP,UQ[VR],UQ[IE],UQ[MI],UQ[TR],UQ[PS],MAP[50],MAP[75],MAP[Small],MAP[Medium],MAP[Large],MAR[1],MAR[5],MAR[100],MAR[Small],MAR[Medium],MAR[Large]
71,dataset/origimg/org/image_top411.jpg,0.5200374126434326,0.0,0.2063511111111111,0.04866049840845058,202760.94130270527,6222.127525142217,0.5200374126434326,-1.0,-1.0,0.059405941516160965,0.8495444059371948,0.20000000298023224,0.6100000143051147,0.6200000047683716,-1.0,0.05000000074505806,1.0
72,dataset/origimg/org/image_top51.jpg,0.3257526159286499,0.0,0.354256875,0.04341968347954288,238522.4028444965,5360.241998980079,0.3257526159286499,-1.0,-1.0,0.4228378236293793,0.2826171815395355,0.04500000178813934,0.3199999928474426,0.49000000953674316,-1.0,0.4833333194255829,0.5
73,dataset/origimg/org/image_top568.jpg,0.2756580412387848,0.0,0.39444833333333335,0.07946594474569257,627803.2104735499,8206.925913700486,0.2756580412387848,-1.0,-1.0,0.029702970758080482,0.7920792102813721,0.23333333432674408,0.3333333432674408,0.3499999940395355,-1.0,0.02500000037252903,1.0
74,dataset/origimg/org/image_top30.jpg,0.7957879900932312,0.0,0.264919,0.0740610093973054,319990.5679382594,7808.311204678548,0.7957879900932312,-1.0,-1.0,1.0,1.0,0.5,0.9750000238418579,1.0,-1.0,1.0,1.0
75,dataset/origimg/org/image_top46.jpg,0.33130961656570435,0.0,0.3664233333333333,0.065145517090413,430116.171178954,8974.895708033844,0.33130961656570435,-1.0,-1.0,0.5841584205627441,0.21718530356884003,0.11666666716337204,0.4333333373069763,0.46666666865348816,-1.0,0.5833333134651184,0.3499999940395355
76,dataset/origimg/org/image_top184.jpg,0.6060606241226196,0.0,0.23506833333333332,0.0606970417078573,714734.3976060277,9298.181585467779,0.6060606241226196,-1.0,-1.0,-1.0,0.6060606241226196,0.5,1.0,1.0,-1.0,-1.0,1.0
77,dataset/origimg/org/image_top88.jpg,0.2226485162973404,0.0,0.3047627272727273,0.09445725439138761,442740.38787494117,8405.021664306503,0.2226485162973404,-1.0,-1.0,0.4931473433971405,-1.0,0.06666667014360428,0.5,0.5166666507720947,-1.0,0.5166666507720947,-1.0
78,dataset/origimg/org/image_top255.jpg,0.6106618046760559,0.0,0.2422784615384615,0.03209687158944845,308204.9223518495,6752.86725742648,0.6106618046760559,-1.0,-1.0,0.6237623691558838,1.0,0.3333333432674408,0.7333333492279053,0.75,-1.0,0.625,1.0
79,dataset/origimg/org/image_top50.jpg,0.07723699510097504,0.0,0.2826071428571429,0.08108080035843165,716752.611157534,11546.719879369728,0.07723699510097504,-1.0,-1.0,0.24566832184791565,-1.0,0.10000000149011612,0.25,0.25,-1.0,0.25,-1.0
80,dataset/origimg/org/image_top432.jpg,0.3475355803966522,0.0,0.4773111111111111,0.06333735981940995,157949.66920839803,4134.4391480166605,0.3475355803966522,-1.0,-1.0,0.3512864410877228,0.5916261076927185,0.08571428805589676,0.37142857909202576,0.5928571224212646,-1.0,0.4300000071525574,1.0
81,dataset/origimg/org/image_top382.jpg,0.7618005871772766,0.0,0.32160187500000004,0.06822594542439353,378989.1140803529,7121.821291328896,0.7618005871772766,-1.0,-1.0,1.0,0.6795727610588074,0.20000000298023224,0.9666666388511658,1.0,-1.0,1.0,1.0
82,dataset/origimg/org/image_top23.jpg,0.4562537968158722,0.0,0.39683076923076926,0.0578995521176568,519315.5745744118,8962.794240970645,0.4562537968158722,-1.0,-1.0,-1.0,0.4562537968158722,0.30000001192092896,1.0,1.0,-1.0,-1.0,1.0
83,dataset/origimg/org/image_top365.jpg,0.8117753863334656,0.0,0.21847636363636366,0.0639883623449241,369497.7521971255,7992.456945845422,0.8117753863334656,-1.0,-1.0,0.9504950642585754,0.8189385533332825,0.25,0.8500000238418579,0.987500011920929,-1.0,0.949999988079071,1.0
84,dataset/origimg/org/image_top326.jpg,0.2923088073730469,0.0,0.41154555555555555,0.1045027520143937,721626.126694055,13417.84805944161,0.2923088073730469,-1.0,-1.0,0.4356435537338257,0.43844667077064514,0.1666666716337204,0.5666666626930237,0.6166666746139526,-1.0,0.44999998807907104,0.949999988079071
85,dataset/origimg/org/image_top448.jpg,0.5042767524719238,0.0,0.3426336842105263,0.07473597512820171,340865.41821176856,5214.622158579634,0.5042767524719238,-1.0,-1.0,0.7047978043556213,0.4754922091960907,0.03999999910593033,0.6000000238418579,0.7799999713897705,-1.0,0.7250000238418579,1.0
86,dataset/origimg/org/image_open46.jpg,0.21039603650569916,0.0,0.30256714285714287,0.08962290482556935,664594.6255438409,11124.817008485723,0.21039603650569916,-1.0,-1.0,0.5049505233764648,-1.0,0.17499999701976776,0.5,0.5,-1.0,0.5,-1.0
87,dataset/origimg/org/image_top458.jpg,0.4430481195449829,0.0,0.22493090909090904,0.04391039000059596,483974.82928054896,9195.918347997847,0.4430481195449829,-1.0,-1.0,0.5216021537780762,0.4625000059604645,0.11249999701976776,0.6625000238418579,0.6875,-1.0,0.5249999761581421,0.8500000238418579
88,dataset/origimg/org/image_top482.jpg,0.5210235714912415,0.0,0.32831125,0.07639980615287742,471426.23758968746,7626.284823400516,0.5210235714912415,-1.0,-1.0,0.6681662201881409,0.43478259444236755,0.20000000298023224,0.5799999833106995,0.75,-1.0,0.6875,1.0
89,dataset/origimg/org/image_top200.jpg,0.5360175371170044,0.0,0.23575166666666666,0.051018423081397514,537949.9415314556,8414.465221147531,0.5360175371170044,-1.0,-1.0,0.7648521065711975,0.4068480134010315,0.05000000074505806,0.6299999952316284,0.8600000143051147,-1.0,0.8166666626930237,0.925000011920929
90,dataset/origimg/org/image_top484.jpg,0.7728691101074219,0.0,0.18730833333333333,0.04399572817086937,199551.39739388216,4548.572997236777,0.7728691101074219,-1.0,-1.0,0.9504950642585754,0.7429224848747253,0.07000000029802322,0.75,0.9900000095367432,-1.0,0.949999988079071,1.0
91,dataset/origimg/org/image_top14.jpg,0.5981630682945251,0.0,0.20773714285714284,0.04080403411252547,481395.76155845175,10031.455895429244,0.5981630682945251,-1.0,-1.0,1.0,0.3220789432525635,0.3166666626930237,0.7666666507720947,0.8666666746139526,-1.0,1.0,0.800000011920929
92,dataset/origimg/org/image_open53.jpg,0.15329906344413757,0.0,0.43982499999999997,0.06366101092952016,520587.53613912704,7792.807805541015,0.15329906344413757,-1.0,-1.0,0.14294500648975372,0.35087719559669495,0.05000000074505806,0.3083333373069763,0.3499999940395355,-1.0,0.2199999988079071,1.0
93,dataset/origimg/org/image_top187.jpg,0.17877769470214844,0.0,0.29717,0.06880678967199777,467639.4246633861,9410.589556216086,0.17877769470214844,-1.0,-1.0,0.397602915763855,-1.0,0.15000000596046448,0.42500001192092896,0.42500001192092896,-1.0,0.42500001192092896,-1.0
94,dataset/origimg/org/image_top309.jpg,0.6357839703559875,0.0,0.3122764285714285,0.0774129351179145,358018.9010792687,6724.798710266307,0.6357839703559875,-1.0,-1.0,-1.0,0.6357839703559875,0.17499999701976776,0.9750000238418579,1.0,-1.0,-1.0,1.0
