image,image_name,MAP,UQ[VR],UQ[IE],UQ[MI],UQ[TR],UQ[PS],MAP[50],MAP[75],MAP[Small],MAP[Medium],MAP[Large],MAR[1],MAR[5],MAR[100],MAR[Small],MAR[Medium],MAR[Large]
98,dataset/origimg/org/image_top198.jpg,1.0,0.0,0.029240000000000002,4.3723017025118147e-07,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.5,1.0,1.0,-1.0,-1.0,1.0
99,dataset/origimg/org/image_top190.jpg,1.0,0.0,0.16039,1.943106451268717e-06,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
100,dataset/origimg/org/image_top213.jpg,1.0,0.0,0.03098,-1.8305816328502031e-06,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.5,1.0,1.0,-1.0,1.0,1.0
101,dataset/origimg/org/image_top317.jpg,1.0,0.0,0.00189,-1.243557405992261e-06,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.25,1.0,1.0,-1.0,1.0,1.0
102,dataset/origimg/org/image_top339.jpg,1.0,0.0,0.001635,7.863231413061331e-07,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.5,1.0,1.0,-1.0,-1.0,1.0
103,dataset/origimg/org/image_top35.jpg,1.0,0.0,0.00323,-2.1682524945620257e-06,0.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
104,dataset/origimg/org/image_open52.jpg,0.40594059228897095,0.0,0.11063999999999999,-1.1152647010120777e-06,0.0,-1.0,0.40594059228897095,-1.0,0.0,0.3366336524486542,1.0,0.20000000298023224,0.4000000059604645,0.4000000059604645,0.0,0.3333333432674408,1.0
105,dataset/origimg/org/image_top306.jpg,1.0,0.0,0.11320000000000001,-8.893793791974839e-07,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.3333333432674408,1.0,1.0,-1.0,1.0,1.0
106,dataset/origimg/org/image_top495.jpg,0.6633663177490234,0.0,0.026955,-1.036344105003438e-06,0.0,-1.0,0.6633663177490234,-1.0,-1.0,1.0,0.0,0.3333333432674408,0.6666666865348816,0.6666666865348816,-1.0,1.0,0.0
107,dataset/origimg/org/image_top210.jpg,1.0,0.0,0.02389,-7.592260171359125e-07,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.5,1.0,1.0,-1.0,-1.0,1.0
108,dataset/origimg/org/image_open49.jpg,0.594059407711029,0.0,0.2771633333333334,1.505743121173996e-06,0.0,-1.0,0.594059407711029,-1.0,-1.0,0.5049505233764648,1.0,0.20000000298023224,0.6000000238418579,0.6000000238418579,-1.0,0.5,1.0
109,dataset/origimg/org/image_top43.jpg,1.0,0.0,0.592605,2.2219037477955172e-07,0.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,0.25,1.0,1.0,-1.0,1.0,-1.0
110,dataset/origimg/org/image_top263.jpg,1.0,0.0,0.00672,-1.4908623466721935e-06,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.5,1.0,1.0,-1.0,1.0,1.0
111,dataset/origimg/org/image_top409.jpg,0.2574257552623749,0.0,0.00248,-1.8906408155109494e-07,0.0,-1.0,0.2574257552623749,-1.0,-1.0,0.0,1.0,0.25,0.25,0.25,-1.0,0.0,1.0
112,dataset/origimg/org/image_top413.jpg,1.0,0.0,0.15036999999999998,-7.750700786506026e-07,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.20000000298023224,1.0,1.0,-1.0,-1.0,1.0
113,dataset/origimg/org/image_top600.jpg,0.5049505233764648,0.0,0.08035,-4.37921391498175e-06,0.0,-1.0,0.5049505233764648,-1.0,-1.0,0.5049505233764648,-1.0,0.5,0.5,0.5,-1.0,0.5,-1.0
